,discovery_score,twin_score,stability_score,final_score
cg18752880,1.0,0.0,0.9956226896846458,0.6991245379369292
cg22461018,0.5,0.6759631370187589,0.919629615102268,0.6367148641260812
cg14679230,0.5,0.4556492256941262,0.8600183734318838,0.5586984423946146
cg05751148,0.0,1.0,0.852132642804319,0.4704265285608638
cg16652063,0.5,0.0,0.9983512847951812,0.4496702569590363
cg06734962,0.5,0.0,0.9981176690118179,0.4496235338023636
cg08558340,0.5,0.0,0.997930097581375,0.44958601951627497
cg27167601,0.5,0.0,0.9974455011712315,0.4494891002342463
cg09038914,0.5,0.0,0.9967052930761906,0.4493410586152381
cg04005701,0.5,0.0,0.9953983267614857,0.44907966535229715
cg04134624,0.5,0.0,0.9933871373178637,0.44867742746357275
cg14688272,0.5,0.0,0.9917904333266724,0.4483580866653345
cg03789934,0.5,0.0,0.9895146499788244,0.44790292999576486
cg07985359,0.5,0.0,0.9868085388421213,0.44736170776842427
cg17647273,0.5,0.0,0.9853185379571673,0.44706370759143343
cg08657449,0.5,0.0,0.9850885833903471,0.44701771667806944
cg04557383,0.5,0.0,0.9812061070999345,0.4462412214199869
cg14322224,0.5,0.0,0.9807772194750501,0.44615544389501005
cg17506742,0.5,0.0,0.9501895304219222,0.4400379060843844
cg26706003,0.0,0.8411985705122331,0.9293102472076848,0.43822162059520686
cg24102360,0.5,0.0,0.9325447418322593,0.4365089483664519
cg12314510,0.5,0.0,0.9185143786407636,0.4337028757281527
cg16826718,0.5,0.0,0.9159191620398911,0.4331838324079782
cg01985852,0.5,0.0,0.9151147151856551,0.43302294303713107
cg25307641,0.5,0.0,0.9143218798637373,0.43286437597274746
cg13974531,0.5,0.0,0.9121307362088931,0.43242614724177864
cg17127823,0.5,0.0,0.9049858773192038,0.43099717546384075
cg16382322,0.5,0.0,0.898785236608459,0.42975704732169184
cg09261262,0.5,0.0,0.8951978670361551,0.42903957340723103
cg20423977,0.5,0.0,0.8894370324692847,0.4278874064938569
cg03950009,0.5,0.0,0.8848390856285716,0.4269678171257143
cg22307649,0.5,0.0,0.8798890506350103,0.4259778101270021
cg03979162,0.5,0.0,0.8792837705017309,0.4258567541003462
cg14563260,0.5,0.0,0.8769968523304527,0.42539937046609055
cg02322621,0.5,0.0,0.8725621947072447,0.42451243894144897
